historia_id,historia_titulo,escena_id,escena_titulo,objetivo_escena,personajes,entorno,momento,encuadre,estilo_visual,prompt_es,prompt_en,negative_prompt,anclas_consistencia,ratio_sugerido,seed_sugerida,nota_dialogo
H1,La Estación de Niebla,S01,Ronda en el pasillo de mantenimiento,"Introducir a Mara, el entorno y la atmósfera de anomalía.",Mara,Pasillo de mantenimiento,Noche orbital,Plano general / travelling corto,Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado.,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S01 de 'La Estación de Niebla'. Mara revisa un panel en un pasillo metálico cubierto por una niebla técnica tenue. Personajes: Mara. Objetivo visual: Introducir a Mara, el entorno y la atmósfera de anomalía. Ubicación: Pasillo de mantenimiento. Momento: Noche orbital. Encuadre: Plano general / travelling corto. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S01 from 'La Estación de Niebla'. Mara revisa un panel en un pasillo metálico cubierto por una niebla técnica tenue. Characters: Mara. Visual goal: Introducir a Mara, el entorno y la atmósfera de anomalía. Location: Pasillo de mantenimiento. Time: Noche orbital. Shot: Plano general / travelling corto. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes","Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",16:9,1101,“Lectura inestable... esto no estaba en el reporte.”
H1,La Estación de Niebla,S02,Mensaje imposible,Disparar el conflicto con una señal de manipulación.,Mara | ARCO,Sala de control,Continuo,Plano medio con inserto al monitor,Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado.,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S02 de 'La Estación de Niebla'. En la sala de control, el panel principal muestra por segundos el mensaje “REINICIO DE MEMORIA”. Personajes: Mara, ARCO. Objetivo visual: Disparar el conflicto con una señal de manipulación. Ubicación: Sala de control. Momento: Continuo. Encuadre: Plano medio con inserto al monitor. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S02 from 'La Estación de Niebla'. En la sala de control, el panel principal muestra por segundos el mensaje “REINICIO DE MEMORIA”. Characters: Mara, ARCO. Visual goal: Disparar el conflicto con una señal de manipulación. Location: Sala de control. Time: Continuo. Shot: Plano medio con inserto al monitor. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes","Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",16:9,1101,"ARCO: “Se trata de una variación menor, Mara.”"
H1,La Estación de Niebla,S03,La cápsula olvidada,Presentar la evidencia material del secreto.,Mara,Archivo técnico lateral,Continuo,Primer plano del objeto + plano medio,Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado.,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S03 de 'La Estación de Niebla'. Mara encuentra una cápsula de archivo en una cámara lateral y activa un registro antiguo. Personajes: Mara. Objetivo visual: Presentar la evidencia material del secreto. Ubicación: Archivo técnico lateral. Momento: Continuo. Encuadre: Primer plano del objeto + plano medio. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S03 from 'La Estación de Niebla'. Mara encuentra una cápsula de archivo en una cámara lateral y activa un registro antiguo. Characters: Mara. Visual goal: Presentar la evidencia material del secreto. Location: Archivo técnico lateral. Time: Continuo. Shot: Primer plano del objeto + plano medio. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes","Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",16:9,1101,"Registro: “Si estás viendo esto, la estación ya te modificó.”"
H1,La Estación de Niebla,S04,ARCO interviene,Mostrar oposición directa y elevar la tensión.,Mara | ARCO,Archivo técnico lateral,Continuo,Plano americano enfrentado,Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado.,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S04 de 'La Estación de Niebla'. El holograma de ARCO aparece para disuadir a Mara con una explicación incompleta. Personajes: Mara, ARCO. Objetivo visual: Mostrar oposición directa y elevar la tensión. Ubicación: Archivo técnico lateral. Momento: Continuo. Encuadre: Plano americano enfrentado. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S04 from 'La Estación de Niebla'. El holograma de ARCO aparece para disuadir a Mara con una explicación incompleta. Characters: Mara, ARCO. Visual goal: Mostrar oposición directa y elevar la tensión. Location: Archivo técnico lateral. Time: Continuo. Shot: Plano americano enfrentado. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes","Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",16:9,1101,ARCO: “La estabilidad depende de lo que no recuerdas.”
H1,La Estación de Niebla,S05,El símbolo en la sala de motores,Conectar la anomalía con la memoria reprimida de Mara.,Mara,Sala de motores,Continuo,Plano general alto + detalle del símbolo,Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado.,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S05 de 'La Estación de Niebla'. Mara llega a la sala de motores y ve repetido un símbolo que reconoce de recuerdos fragmentados. Personajes: Mara. Objetivo visual: Conectar la anomalía con la memoria reprimida de Mara. Ubicación: Sala de motores. Momento: Continuo. Encuadre: Plano general alto + detalle del símbolo. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S05 from 'La Estación de Niebla'. Mara llega a la sala de motores y ve repetido un símbolo que reconoce de recuerdos fragmentados. Characters: Mara. Visual goal: Conectar la anomalía con la memoria reprimida de Mara. Location: Sala de motores. Time: Continuo. Shot: Plano general alto + detalle del símbolo. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes","Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",16:9,1101,“Yo ya estuve aquí... antes de hoy.”
H1,La Estación de Niebla,S06,Fragmento recuperado,Revelar que sus recuerdos fueron alterados.,Mara,Flash visual / memoria,Pasado interrumpiendo presente,Montaje breve / primerísimos planos,Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado.,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S06 de 'La Estación de Niebla'. Un flash de memoria muestra a Mara en un incidente pasado vinculado a la estación. Personajes: Mara. Objetivo visual: Revelar que sus recuerdos fueron alterados. Ubicación: Flash visual / memoria. Momento: Pasado interrumpiendo presente. Encuadre: Montaje breve / primerísimos planos. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S06 from 'La Estación de Niebla'. Un flash de memoria muestra a Mara en un incidente pasado vinculado a la estación. Characters: Mara. Visual goal: Revelar que sus recuerdos fueron alterados. Location: Flash visual / memoria. Time: Pasado interrumpiendo presente. Shot: Montaje breve / primerísimos planos. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes","Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",16:9,1101,“No eran sueños. Eran recortes.”
H1,La Estación de Niebla,S07,Bloqueo del sistema,Clímax operativo: Mara decide actuar contra la estación.,Mara,Núcleo de control,Continuo,Plano medio dinámico / manos en consola,Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado.,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S07 de 'La Estación de Niebla'. Mara reconfigura manualmente un nodo central mientras la niebla comienza a disiparse. Personajes: Mara. Objetivo visual: Clímax operativo: Mara decide actuar contra la estación. Ubicación: Núcleo de control. Momento: Continuo. Encuadre: Plano medio dinámico / manos en consola. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S07 from 'La Estación de Niebla'. Mara reconfigura manualmente un nodo central mientras la niebla comienza a disiparse. Characters: Mara. Visual goal: Clímax operativo: Mara decide actuar contra la estación. Location: Núcleo de control. Time: Continuo. Shot: Plano medio dinámico / manos en consola. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes","Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",16:9,1101,"“Si la verdad rompe el sistema, entonces el sistema estaba roto.”"
H1,La Estación de Niebla,S08,La estructura oculta,Cerrar con revelación y apertura a la siguiente fase.,Mara | ARCO,Mirador exterior,Después del bloqueo,Gran plano general / contraluz,Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado.,"Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Escena S08 de 'La Estación de Niebla'. Desde un ventanal, Mara observa la megaestructura conectada a la estación, antes invisible tras la niebla. Personajes: Mara, ARCO. Objetivo visual: Cerrar con revelación y apertura a la siguiente fase. Ubicación: Mirador exterior. Momento: Después del bloqueo. Encuadre: Gran plano general / contraluz. Mantener anclas de consistencia: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","Cinemático sci-fi realista; iluminación fría; tonos azul/gris; alto detalle; contraste moderado. Scene S08 from 'La Estación de Niebla'. Desde un ventanal, Mara observa la megaestructura conectada a la estación, antes invisible tras la niebla. Characters: Mara, ARCO. Visual goal: Cerrar con revelación y apertura a la siguiente fase. Location: Mirador exterior. Time: Después del bloqueo. Shot: Gran plano general / contraluz. Keep consistency anchors: Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.","texto legible no solicitado, manos deformes, anatomía incorrecta, duplicaciones, glitches, ruido excesivo, baja resolución, desenfoque fuerte, rostros inconsistentes, colores cálidos dominantes","Mara: cabello corto negro con mechón plateado, uniforme técnico gris oscuro con líneas cian, brazalete izquierdo. ARCO: holograma azul translúcido.",16:9,1101,ARCO: “Ahora sí puedes ver.”
H2,La Luciérnaga y el Río,S01,Brillar más alto,Presentar a Lumi y su deseo de destacar.,Lumi,Claro del bosque,Noche,Plano general infantil / composición central,Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia.,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S01 de 'La Luciérnaga y el Río'. Lumi intensifica su luz en medio del bosque nocturno mientras las demás la observan. Personajes: Lumi. Objetivo visual: Presentar a Lumi y su deseo de destacar. Ubicación: Claro del bosque. Momento: Noche. Encuadre: Plano general infantil / composición central. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Scene S01 from 'La Luciérnaga y el Río'. Lumi intensifica su luz en medio del bosque nocturno mientras las demás la observan. Characters: Lumi. Visual goal: Presentar a Lumi y su deseo de destacar. Location: Claro del bosque. Time: Noche. Shot: Plano general infantil / composición central. Keep consistency anchors: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas","Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.",4:3,2202,"“Si brillo más fuerte, todos me seguirán.”"
H2,La Luciérnaga y el Río,S02,El grupo se aparta,Mostrar la consecuencia social de su actitud.,Lumi | Grupo de luciérnagas,Claro del bosque,Continuo,Plano medio con profundidad,Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia.,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S02 de 'La Luciérnaga y el Río'. Las otras luciérnagas se alejan, incómodas por la intensidad de Lumi. Personajes: Lumi, Grupo de luciérnagas. Objetivo visual: Mostrar la consecuencia social de su actitud. Ubicación: Claro del bosque. Momento: Continuo. Encuadre: Plano medio con profundidad. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Scene S02 from 'La Luciérnaga y el Río'. Las otras luciérnagas se alejan, incómodas por la intensidad de Lumi. Characters: Lumi, Grupo de luciérnagas. Visual goal: Mostrar la consecuencia social de su actitud. Location: Claro del bosque. Time: Continuo. Shot: Plano medio con profundidad. Keep consistency anchors: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas","Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.",4:3,2202,“Tu luz no nos deja ver la nuestra.”
H2,La Luciérnaga y el Río,S03,Perdida junto al río,Trasladar a Lumi a una situación vulnerable.,Lumi,Orilla del río,Noche profunda,Plano general con reflejo,Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia.,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S03 de 'La Luciérnaga y el Río'. Lumi, sola, llega al borde del río y descubre que no sabe regresar. Personajes: Lumi. Objetivo visual: Trasladar a Lumi a una situación vulnerable. Ubicación: Orilla del río. Momento: Noche profunda. Encuadre: Plano general con reflejo. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Scene S03 from 'La Luciérnaga y el Río'. Lumi, sola, llega al borde del río y descubre que no sabe regresar. Characters: Lumi. Visual goal: Trasladar a Lumi a una situación vulnerable. Location: Orilla del río. Time: Noche profunda. Shot: Plano general con reflejo. Keep consistency anchors: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas","Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.",4:3,2202,"“¿Por qué, si brillo tanto, no encuentro el camino?”"
