historia_id,historia_titulo,escena_id,escena_titulo,objetivo,accion,lugar,momento,encuadre,linea_guia
H1,La Estación de Niebla,S01,Ronda en el pasillo de mantenimiento,"Introducir a Mara, el entorno y la atmósfera de anomalía.",Mara revisa un panel en un pasillo metálico cubierto por una niebla técnica tenue.,Pasillo de mantenimiento,Noche orbital,Plano general / travelling corto,“Lectura inestable... esto no estaba en el reporte.”
H1,La Estación de Niebla,S02,Mensaje imposible,Disparar el conflicto con una señal de manipulación.,"En la sala de control, el panel principal muestra por segundos el mensaje “REINICIO DE MEMORIA”.",Sala de control,Continuo,Plano medio con inserto al monitor,"ARCO: “Se trata de una variación menor, Mara.”"
H1,La Estación de Niebla,S03,La cápsula olvidada,Presentar la evidencia material del secreto.,Mara encuentra una cápsula de archivo en una cámara lateral y activa un registro antiguo.,Archivo técnico lateral,Continuo,Primer plano del objeto + plano medio,"Registro: “Si estás viendo esto, la estación ya te modificó.”"
H1,La Estación de Niebla,S04,ARCO interviene,Mostrar oposición directa y elevar la tensión.,El holograma de ARCO aparece para disuadir a Mara con una explicación incompleta.,Archivo técnico lateral,Continuo,Plano americano enfrentado,ARCO: “La estabilidad depende de lo que no recuerdas.”
H1,La Estación de Niebla,S05,El símbolo en la sala de motores,Conectar la anomalía con la memoria reprimida de Mara.,Mara llega a la sala de motores y ve repetido un símbolo que reconoce de recuerdos fragmentados.,Sala de motores,Continuo,Plano general alto + detalle del símbolo,“Yo ya estuve aquí... antes de hoy.”
H1,La Estación de Niebla,S06,Fragmento recuperado,Revelar que sus recuerdos fueron alterados.,Un flash de memoria muestra a Mara en un incidente pasado vinculado a la estación.,Flash visual / memoria,Pasado interrumpiendo presente,Montaje breve / primerísimos planos,“No eran sueños. Eran recortes.”
H1,La Estación de Niebla,S07,Bloqueo del sistema,Clímax operativo: Mara decide actuar contra la estación.,Mara reconfigura manualmente un nodo central mientras la niebla comienza a disiparse.,Núcleo de control,Continuo,Plano medio dinámico / manos en consola,"“Si la verdad rompe el sistema, entonces el sistema estaba roto.”"
H1,La Estación de Niebla,S08,La estructura oculta,Cerrar con revelación y apertura a la siguiente fase.,"Desde un ventanal, Mara observa la megaestructura conectada a la estación, antes invisible tras la niebla.",Mirador exterior,Después del bloqueo,Gran plano general / contraluz,ARCO: “Ahora sí puedes ver.”
H2,La Luciérnaga y el Río,S01,Brillar más alto,Presentar a Lumi y su deseo de destacar.,Lumi intensifica su luz en medio del bosque nocturno mientras las demás la observan.,Claro del bosque,Noche,Plano general infantil / composición central,"“Si brillo más fuerte, todos me seguirán.”"
H2,La Luciérnaga y el Río,S02,El grupo se aparta,Mostrar la consecuencia social de su actitud.,"Las otras luciérnagas se alejan, incómodas por la intensidad de Lumi.",Claro del bosque,Continuo,Plano medio con profundidad,“Tu luz no nos deja ver la nuestra.”
H2,La Luciérnaga y el Río,S03,Perdida junto al río,Trasladar a Lumi a una situación vulnerable.,"Lumi, sola, llega al borde del río y descubre que no sabe regresar.",Orilla del río,Noche profunda,Plano general con reflejo,"“¿Por qué, si brillo tanto, no encuentro el camino?”"
H2,La Luciérnaga y el Río,S04,La lección del reflejo,Introducir el aprendizaje central.,El río refleja una luz suave y estable que marca una ruta sobre el agua.,Orilla del río,Continuo,Plano detalle al reflejo + plano medio,“No necesitas más luz. Necesitas mejor dirección.”
H2,La Luciérnaga y el Río,S05,Modular la luz,Mostrar el cambio interno de Lumi.,"Lumi prueba destellos más pequeños, rítmicos y constantes.",Orilla del río,Continuo,Primer plano expresivo,“Puedo iluminar sin deslumbrar.”
H2,La Luciérnaga y el Río,S06,Guiar a otra luciérnaga,Aplicar el aprendizaje en una acción concreta.,Lumi encuentra a una luciérnaga desorientada y la acompaña con su luz regulada.,Sendero del bosque,Noche,Plano medio lateral,"“Ven, yo te acompaño.”"
H2,La Luciérnaga y el Río,S07,El regreso del grupo,Reconciliar a Lumi con la comunidad.,Las demás luciérnagas vuelven y comienzan a coordinar sus destellos con ella.,Sendero del bosque,Noche,Plano general coral,“Así sí podemos ver juntas.”
H2,La Luciérnaga y el Río,S08,El camino iluminado,Cerrar con moraleja visual clara.,Muchas luces pequeñas forman un camino brillante y armónico hacia el bosque.,Sendero principal,Noche al final,Gran plano general poético,Narración: “La mejor luz es la que ayuda a todos a avanzar.”
H3,El Mapa del Viento,S01,El mapa despierta,Presentar el artefacto y el detonante de la aventura.,Una ráfaga abre el mapa en la plaza del pueblo y revela una ruta cambiante.,Plaza del pueblo,Tarde,Plano general con acción central,Nico: “¿Viste eso? ¡Se movió solo!”
H3,El Mapa del Viento,S02,Hacia las colinas,Poner en marcha la travesía y mostrar el tono aventurero.,Nico y Sara avanzan por un camino elevado mientras el mapa vuelve a cambiar.,Camino de colinas,Tarde,Plano general en diagonal,Sara: “No cambia al azar; responde a la dirección del viento.”
H3,El Mapa del Viento,S03,El puente viejo,Introducir el primer obstáculo con decisión táctica.,"En un puente antiguo, el mapa señala un desvío seguro en lugar del camino directo.",Puente viejo,Tarde avanzada,Plano medio / contrapicado suave,"“Si el mapa evita algo, mejor escucharlo.”"
H3,El Mapa del Viento,S04,Tormenta en el campo,Complicar la búsqueda y elevar tensión.,Una corriente fuerte borra temporalmente las marcas del mapa en campo abierto.,Campo abierto,Atardecer,Plano general amplio con viento,Nico: “¡Ahora sí nos perdimos!”
H3,El Mapa del Viento,S05,El patrón oculto,Mostrar la inteligencia de Sara y la cooperación.,Sara observa el comportamiento del viento y deduce la lógica del dibujo del mapa.,Refugio improvisado junto a una roca,Atardecer,Plano medio íntimo,Sara: “No marca lugares; marca direcciones repetidas.”
H3,El Mapa del Viento,S06,La entrada cubierta,Descubrir la meta física de la búsqueda.,Las pistas los llevan a una puerta oculta entre enredaderas y piedra antigua.,Entrada de la biblioteca,Última luz,Plano general frontal,“No era una ruina... era una puerta esperando.”
H3,El Mapa del Viento,S07,La biblioteca perdida,Revelar el tesoro y bajar el ritmo con asombro.,"Dentro, los libros y el polvo dorado crean una atmósfera silenciosa y viva.",Interior de la biblioteca,Interior atemporal,Plano general con profundidad,Nico: “Todo este tiempo... aquí.”
H3,El Mapa del Viento,S08,Un nuevo destino,Cerrar la mini historia y abrir continuidad.,Los protagonistas salen con un libro rescatado mientras el viento dibuja una nueva señal en el mapa.,Exterior de la biblioteca,Anochecer cálido,Plano general de salida,Sara: “Creo que esto solo fue el comienzo.”
